Freq:2500000000
Bias:                0.17ms of 10000 times

thread(0) id:2904
                              :      Self Time       ms,      Full Time       ms,      Self Avg Time   ms,      Full Avg Time   ms,      Full Max Time   ms
      GetDataFromImc(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
 GetDataFromImc_Lock(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
 GetDataFromImc_Comp(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
 GetDataFromImc_Cand(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
GetDataFromImc_Private(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
 GetDataFromImc_Core(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
GetDataFromImc_Unlock(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        SetDataToImc(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
   SetDataToImc_Lock(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
   SetDataToImc_Comp(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
   SetDataToImc_Cand(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
SetDataToImc_Private(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
   SetDataToImc_Core(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
 SetDataToImc_Unlock(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
   GetCurrentUserId1(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
   GetCurrentUserId2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
   GetCurrentUserId3(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
            UiSelect(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           UiContext(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          MakeupCand(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          SelectCand(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           ConvertPy(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           ConvertBh(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
     ConvertBhFilter(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      ConvertDigital(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           OutResult(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         ImeTurnPage(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
            MoveComp(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        UpdateStatus(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
            PaintTop(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         UpdateLayer(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           MoveComp1(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           MoveComp2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           MoveComp3(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           MoveComp4(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           MoveComp5(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           MoveComp6(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          MoveComp21(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          MoveComp22(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          MoveComp23(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          MoveComp24(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          MoveComp25(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          MoveComp26(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          MoveComp61(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          MoveComp62(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          MoveComp63(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          MoveComp64(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          MoveComp65(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          MoveComp66(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         MoveComp621(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         MoveComp622(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           PaintTop1(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           PaintTop2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           PaintTop3(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           PaintTop4(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           PaintTop5(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           PaintTop6(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        Paint_Image1(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        Paint_Image2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        Paint_Frame1(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        Paint_Frame2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
    Paint_CandString(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      Paint_CandPage(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
     Paint_CompAlpha(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
     Paint_CompBlank(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      Paint_CompText(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      Paint_RichHint(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
            Paint_Bk(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        Paint_Layout(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          Paint_Line(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
 Paint_Layout_Render(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
    Paint_Layout_Wnd(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Paint_SuggestionStringItem(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Paint_SuggestionOptionItem(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Paint_SuggestionConfigItem(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
GetSuggestionVisible(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          Paint_Comp(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          Paint_Cand(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      Paint_CompRich(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          Paint_Text(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
     Paint_Rectangle(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      Paint_Gradient(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       Paint_BtnPage(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      Paint_BtnPage1(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      Paint_BtnPage2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         ParseConfig(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        ParseDefault(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          LoadConfig(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
             ResetUi(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
             envLoad(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
            envStore(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
                Lock(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
              Unlock(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         CreateMutex(       4):                 0.03 ms,                 0.04 ms,                 0.01 ms,                 0.01 ms,                 0.02 ms
